version,distribution,run,seed,collected_resources
Decentralized CPFA,clustered,29,13707,101.0
Decentralized CPFA,clustered,30,667718,88.0
Decentralized CPFA,clustered,31,256116,80.0
Decentralized CPFA,clustered,32,676516,89.0
Decentralized CPFA,clustered,33,7677,105.0
Decentralized CPFA,clustered,34,302191,94.0
Decentralized CPFA,clustered,35,480588,88.0
Decentralized CPFA,clustered,36,480627,81.0
Decentralized CPFA,clustered,37,53589,95.0
Decentralized CPFA,clustered,38,982752,88.0
Decentralized CPFA,clustered,39,824110,100.0
Decentralized CPFA,clustered,40,280480,69.0
Decentralized CPFA,clustered,41,960219,91.0
Decentralized CPFA,clustered,42,265247,76.0
Decentralized CPFA,clustered,43,249314,80.0
Decentralized CPFA,clustered,44,540292,81.0
Decentralized CPFA,clustered,45,254319,87.0
Decentralized CPFA,clustered,46,499961,72.0
Decentralized CPFA,clustered,47,727680,82.0
Decentralized CPFA,clustered,48,463666,86.0
Decentralized CPFA,clustered,49,235545,70.0
Decentralized CPFA,clustered,50,194756,74.0
Decentralized CPFA,powerlaw,1,986758,145.0
Decentralized CPFA,powerlaw,2,868536,142.0
Decentralized CPFA,powerlaw,3,886318,149.0
Decentralized CPFA,powerlaw,4,421432,133.0
Decentralized CPFA,powerlaw,5,629273,147.0
Decentralized CPFA,powerlaw,6,284479,132.0
Decentralized CPFA,powerlaw,7,314856,136.0
Decentralized CPFA,powerlaw,8,600174,147.0
Decentralized CPFA,powerlaw,9,883775,129.0
Decentralized CPFA,powerlaw,10,866085,136.0
Decentralized CPFA,powerlaw,11,440788,132.0
Decentralized CPFA,powerlaw,12,825793,141.0
Decentralized CPFA,powerlaw,13,88883,141.0
Decentralized CPFA,powerlaw,14,222918,135.0
Decentralized CPFA,powerlaw,15,959024,127.0
Decentralized CPFA,powerlaw,16,887648,148.0
Decentralized CPFA,powerlaw,17,874507,141.0
Decentralized CPFA,powerlaw,18,773513,134.0
Decentralized CPFA,powerlaw,19,401446,142.0
Decentralized CPFA,powerlaw,20,582391,133.0
Decentralized CPFA,powerlaw,21,511198,142.0
Decentralized CPFA,powerlaw,22,294308,137.0
Decentralized CPFA,powerlaw,23,240865,125.0
Decentralized CPFA,powerlaw,24,987868,150.0
Decentralized CPFA,powerlaw,25,276079,156.0
Decentralized CPFA,powerlaw,26,902491,131.0
Decentralized CPFA,powerlaw,27,593525,134.0
Decentralized CPFA,powerlaw,28,484871,149.0
Decentralized CPFA,powerlaw,29,982912,147.0
Decentralized CPFA,powerlaw,30,827648,136.0
Decentralized CPFA,powerlaw,31,386365,122.0
Decentralized CPFA,powerlaw,32,164699,130.0
Decentralized CPFA,powerlaw,33,658201,145.0
Decentralized CPFA,powerlaw,34,51422,135.0
Decentralized CPFA,powerlaw,35,511656,137.0
Decentralized CPFA,powerlaw,36,559576,155.0
Decentralized CPFA,powerlaw,37,458299,142.0
Decentralized CPFA,powerlaw,38,550590,128.0
Decentralized CPFA,powerlaw,39,461499,131.0
Decentralized CPFA,powerlaw,40,456035,143.0
Decentralized CPFA,powerlaw,41,541980,137.0
Decentralized CPFA,powerlaw,42,990955,151.0
Decentralized CPFA,powerlaw,43,973260,137.0
Decentralized CPFA,powerlaw,44,638552,161.0
Decentralized CPFA,powerlaw,45,341928,153.0
Decentralized CPFA,powerlaw,46,390662,145.0
Decentralized CPFA,powerlaw,47,100231,142.0
Decentralized CPFA,powerlaw,48,302357,132.0
Decentralized CPFA,powerlaw,49,406551,130.0
Decentralized CPFA,powerlaw,50,733771,139.0
